173.,Catch Me If You Can,2002,2h 21m,PG-13,8.1
174.,Gran Torino,2008,1h 56m,R,8.1
175.,Klaus,2019,1h 36m,PG,8.2
176.,My Neighbor Totoro,1988,1h 26m,G,8.1
177.,Million Dollar Baby,2004,2h 12m,PG-13,8.1
178.,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1
179.,Children of Heaven,1997,1h 29m,PG,8.2
180.,Blade Runner,1982,1h 57m,R,8.1
181.,12 Years a Slave,2013,2h 14m,R,8.1
182.,Before Sunrise,1995,1h 41m,R,8.1
183.,The Grand Budapest Hotel,2014,1h 39m,R,8.1
184.,Ben-Hur,1959,3h 32m,G,8.1
185.,The Gold Rush,1925,1h 35m,Passed,8.1
186.,Barry Lyndon,1975,3h 5m,PG,8.1
187.,Gone Girl,2014,2h 29m,R,8.1
188.,Hacksaw Ridge,2016,2h 19m,R,8.1
189.,In the Name of the Father,1993,2h 13m,R,8.1
190.,On the Waterfront,1954,1h 48m,Approved,8.1
191.,Memories of Murder,2003,2h 12m,Not Rated,8.1
192.,The General,1926,1h 18m,Passed,8.1
193.,The Deer Hunter,1978,3h 3m,R,8.1
194.,Wild Tales,2014,2h 2m,R,8.1
195.,Wild Strawberries,1957,1h 31m,Not Rated,8.1
196.,Dead Poets Society,1989,2h 8m,PG,8.1
197.,The Third Man,1949,1h 33m,Approved,8.1
198.,The Wages of Fear,1953,2h 11m,Not Rated,8.2
199.,Mad Max: Fury Road,2015,2h,R,8.1
200.,Sherlock Jr.,1924,45m,Passed,8.2
201.,"Monsters, Inc.",2001,1h 32m,G,8.1
202.,Mr. Smith Goes to Washington,1939,2h 9m,Passed,8.1
203.,Jaws,1975,2h 4m,PG,8.1
204.,How to Train Your Dragon,2010,1h 38m,PG,8.1
205.,Mary and Max,2009,1h 32m,Not Rated,8.1
206.,Ford v Ferrari,2019,2h 32m,PG-13,8.1
207.,The Seventh Seal,1957,1h 36m,Not Rated,8.1
208.,Room,2015,1h 58m,R,8.1
209.,The Big Lebowski,1998,1h 57m,R,8.1
210.,Ratatouille,2007,1h 51m,G,8.1
211.,Tokyo Story,1953,2h 16m,Not Rated,8.1
212.,Rocky,1976,2h,PG,8.1
213.,Hotel Rwanda,2004,2h 1m,PG-13,8.1
214.,Logan,2017,2h 17m,R,8.1
215.,Spotlight,2015,2h 9m,R,8.1
216.,Platoon,1986,2h,R,8.1
217.,The Passion of Joan of Arc,1928,1h 54m,Passed,8.1
218.,The Terminator,1984,1h 47m,R,8.1
219.,Jai Bhim,2021,2h 44m,TV-MA,8.7
220.,Before Sunset,2004,1h 20m,R,8.1
221.,Rush,2013,2h 3m,R,8.1
222.,Network,1976,2h 1m,R,8.1
223.,The Best Years of Our Lives,1946,2h 50m,Approved,8.1
224.,The Exorcist,1973,2h 2m,R,8.1
225.,Stand by Me,1986,1h 29m,R,8.1
226.,La haine,1995,1h 38m,Not Rated,8.1
227.,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1
228.,The Wizard of Oz,1939,1h 42m,G,8.1
229.,The Incredibles,2004,1h 55m,PG,8.0
230.,Into the Wild,2007,2h 28m,R,8.1
231.,Hachi: A Dog's Tale,2009,1h 33m,G,8.1
232.,To Be or Not to Be,1942,1h 39m,Passed,8.2
233.,The Handmaiden,2016,2h 25m,Not Rated,8.1
234.,My Father and My Son,2005,1h 52m,Not Rated,8.2
235.,The Battle of Algiers,1966,2h 1m,Not Rated,8.1
236.,Groundhog Day,1993,1h 41m,PG,8.0
237.,The Grapes of Wrath,1940,2h 9m,Passed,8.1
238.,Amores Perros,2000,2h 34m,R,8.1
239.,The Sound of Music,1965,2h 52m,G,8.1
240.,Rebecca,1940,2h 10m,Approved,8.1
241.,Cool Hand Luke,1967,2h 7m,GP,8.1
242.,The Iron Giant,1999,1h 26m,PG,8.1
243.,Pather Panchali,1955,2h 5m,Not Rated,8.2
244.,The Help,2011,2h 26m,PG-13,8.1
245.,It Happened One Night,1934,1h 45m,Passed,8.1
246.,The 400 Blows,1959,1h 39m,Not Rated,8.1
247.,Aladdin,1992,1h 30m,G,8.0
248.,Dances with Wolves,1990,3h 1m,PG-13,8.0
249.,Life of Brian,1979,1h 34m,R,8.0
250.,Persona,1966,1h 23m,Not Rated,8.1
